"","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K11824",7.98285989940903,7.29740329292569,7.18118680925876,7.27100782595342,7.63440568330022,7.40918868098344,6.37953005733416,6.78676722089556
"K06199",3.7524059391993,3.89089984849868,4.65118872180221,3.06069622824735,4.05105746260566,3.95906613862805,4.43394720022502,4.34261978155185
"K12599",5.05143094136305,4.59858541961818,4.96704932106271,5.19781614167454,4.90187904770187,5.18975722361582,5.86936793781487,6.04515087426945
"K03696",7.14281947650687,7.3819346348983,6.1935763052971,6.59805120509701,6.10495388362983,6.0011020822577,6.61766287383176,6.67464766623205
"K14662",5.52247572444557,5.40952167162732,5.32834770063718,5.84844254711016,6.18934287134899,5.70335893227879,5.97704371167054,6.82476504172853
"K05916",5.22128462180594,4.82985473806213,5.56835127484861,5.4512267291948,5.50496935924964,6.56178932362929,5.40786621869559,5.58671667824098
"K11390",5.45747962193347,5.02392031805905,4.21234717552777,4.31744355023809,3.94985781484734,4.31219835299119,4.64475777188031,4.75503113699805
"K05665",8.48044551901617,8.07252150756108,7.63304833129833,7.37748931204883,7.31610889952323,7.22760281139062,7.10500006756882,7.1754610251514
"K07093",6.10755606656925,5.70810591998946,6.04616794196811,6.01097450057497,6.2056287452025,5.44252498487042,5.14833419987328,4.88610378376261
"K08850",5.55383614426677,5.37567444048774,4.73828182606615,4.57810418974005,4.81315374692772,4.31219835299119,4.64475777188031,4.11831520983021
"K08144",5.24103233392463,4.77613191881685,3.88554994299838,4.45565302017821,4.81315374692772,3.95906613862805,4.78073944969244,5.05979981469661
"K18551",6.19798257162238,6.54801781144185,6.30129064296061,6.8091910898078,6.38765256626523,5.18975722361582,6.20003227325104,5.86481611728776
"K11206",4.18975141916205,3.06069622824735,3.64787161737727,4.31744355023809,4.37022712531191,4.44990772926082,4.43394720022502,4.23695489369443
"K14006",6.86762199949913,6.45687377455547,6.8171193754707,6.19067096987651,6.49715826432004,6.18048928898998,5.64711593113856,5.54994245691822
"K12661",4.18975141916205,4.77613191881685,5.52365668021918,5.66422851832701,5.02406730881638,4.68200447576778,5.29878098347983,5.25975898358627
"K21797",3.66114548296003,3.89089984849868,4.5569893335116,4.31744355023809,4.05105746260566,4.15258589860193,4.86348420908097,5.08655855000904
"K04744",5.83318759168704,6.42514194866583,5.56835127484861,4.68854469528905,5.50496935924964,5.65504230283817,5.50870673535798,5.87954998185044
"K15216",3.90394698694913,4.12316129053633,4.21234717552777,4.45565302017821,4.7173929233185,4.78257233954085,5.01393701432728,5.34931339201039
"K03259",7.3650188690631,7.3402912822623,6.47202416869192,6.08564214380737,6.12224270440042,6.58727288884638,6.49165990419161,6.52544128236448
"K11592",4.4464952743784,5.65340966980213,5.52365668021918,6.04880692540439,5.58331601479807,5.65504230283817,5.01393701432728,5.41271887669631
"K15502",7.3650188690631,7.30608406305477,7.59164841111524,8.366267450425,7.79199157783814,6.66109221691377,7.58963168359886,7.75238707405979
"K12179",6.37170095739657,5.99727704354188,6.13645897810793,5.66422851832701,6.40181297776904,5.38370900035812,5.08290217076892,5.47325086442577
"K03144",6.9212274180184,6.60568367114356,5.91591300148486,5.71264841550572,5.8788451299108,5.65504230283817,5.88790390137905,5.54994245691822
"K11323",4.40791774752197,4.38789837746142,5.4295625933238,5.39226773642056,5.70462511278713,5.25763663122512,5.04888757416529,4.78915641931072
"K03833",5.45747962193347,5.65340966980213,4.81940992850775,4.68854469528905,4.90187904770187,4.15258589860193,5.24066408067317,5.32748759089428
"K04617",6.83694820953301,6.08168150378143,6.1935763052971,6.01097450057497,6.98336784362701,5.6049532904861,5.83153453167758,5.89412885062636
"K07426",4.18975141916205,4.21963441023177,3.88554994299838,4.45565302017821,3.06069622824735,3.70098503283656,4.09156297794167,4.60769907922273
"K10717",4.18975141916205,4.21963441023177,3.88554994299838,4.45565302017821,3.06069622824735,3.70098503283656,4.09156297794167,4.60769907922273
"K15638",4.18975141916205,4.21963441023177,3.88554994299838,4.45565302017821,3.06069622824735,3.70098503283656,4.09156297794167,4.60769907922273
"K17873",4.18975141916205,4.21963441023177,3.88554994299838,4.45565302017821,3.06069622824735,3.70098503283656,4.09156297794167,4.60769907922273
"K11584",7.79536377875291,7.50761457502298,6.85272655364237,6.74222879056896,7.19212325058869,7.09236520225783,6.44291697520416,6.43960701439498
"K00924",7.39472845358567,7.4924930020344,8.00810747853165,8.72936517402077,7.98617689772237,7.71527330870321,7.32821486475182,7.30981246421878
"K04515",8.45855104665685,8.18483075070117,8.95360187391465,8.572062765738,8.9294524916431,8.99261999160473,7.69154203085238,7.99070112321843
"K06532",7.45236452258459,6.92120641016441,6.53933179690465,5.89089346472528,6.74991037042339,7.1445864348271,6.53878294049602,6.34823282861296
"K03942",7.9518332207025,7.86531910049144,7.06477153149772,6.99307211134956,6.59881112435296,6.79815448985497,7.25993474527924,7.4521418630672
"K21434",3.55212783964546,3.54438689110964,4.06438387231466,3.06069622824735,4.14155388914875,4.31219835299119,4.43394720022502,4.29118429764356
"K13983",4.77281817973978,5.02392031805905,5.21874214792951,4.45565302017821,4.49841661110216,3.70098503283656,4.17043650730496,4.34261978155185
"K18432",4.77281817973978,5.02392031805905,5.21874214792951,4.45565302017821,4.49841661110216,3.70098503283656,4.17043650730496,4.34261978155185
"K00611",6.19798257162238,6.63366236492705,6.70463234667354,6.49311123648246,6.29957472312943,7.76050317967139,6.85907273500575,6.87631772889257
"K11269",5.18086869524465,5.40952167162732,5.56835127484861,6.15652751835152,5.93890586264607,6.0011020822577,5.50870673535798,4.68368883754987
"K02414",3.40902660833906,4.53274182861506,4.06438387231466,3.70378964137559,3.83369835401554,4.68200447576778,3.48898178142677,4.39159657036805
"K10866",7.39472845358567,7.83569268618937,8.6755495804862,8.41698140351032,7.78129045702859,8.114028498274,7.47994007327244,7.38274044836249
"K03164",8.37812955438615,8.45008344055337,7.77847547270044,8.07285801857055,8.17370385071496,7.65665909170685,7.67592344384446,6.96738583282829
"K13091",4.74403034424963,4.59858541961818,5.56835127484861,4.57810418974005,5.70462511278713,5.18975722361582,5.17984546543623,5.74092254395547
"K00485",4.85526334207885,5.02392031805905,4.06438387231466,5.1259977655345,4.22388857893963,4.44990772926082,5.11603469757174,5.41271887669631
"K11450",5.62920402411608,6.74038108564952,6.87020254677624,7.22283669446815,6.25338482381878,6.75391568780904,6.76340213770173,6.40979989516047
"K01131",4.1395752161365,4.21963441023177,4.45412670568623,5.56190875014732,4.61315167313491,4.44990772926082,4.54433216078526,3.98155693741436
"K12381",4.1395752161365,4.21963441023177,4.45412670568623,5.56190875014732,4.61315167313491,4.44990772926082,4.54433216078526,3.98155693741436
