"","add_backA","add_backB","add_backC","pFe19A","pFe19B","pFe19C","pFe21_9A","pFe21_9B","pFe21_9C"
"K05302",5.30943722411522,5.4247587092606,6.09168030676937,5.69361638911942,5.61271570332915,5.73641092359976,5.81593638097687,6.09218093961559,6.01408136190872
"K15009",7.05968362470623,7.01251367339506,7.56051434087646,6.69225222232897,7.31234618664453,6.96986239434714,6.75082132016343,7.26611538468645,7.2746853363688
"K14992",7.04833954816536,6.56128692824554,7.24773659397372,6.82314609084997,7.07080601406223,7.11430475962229,7.2203186461564,6.92726327308601,7.55282391390516
"K16466",9.02553667889717,9.06755427523374,9.37313710306937,9.40876417204463,9.53144610250529,9.28370883697793,8.92488212494105,8.63228385174786,9.05921246686304
"K03873",6.77193513103234,6.87792344480979,6.93511067705747,7.22435187021446,7.03745510590784,6.91553788797345,6.59888769535412,6.58914506134417,7.45660389780241
"K13055",5.5916155145683,5.97140164774887,5.88268873040026,5.84730090134893,5.61271570332915,5.58964026531589,6.27732750207293,6.33647338557678,6.01408136190872
"K01634",6.60962127087005,6.56128692824554,6.40699117073532,7.04301047579588,6.77840835612353,6.8915868236743,6.46765098812024,6.66379935010908,6.09410915548194
"K20704",6.60962127087005,6.56128692824554,6.40699117073532,7.04301047579588,6.77840835612353,6.8915868236743,6.46765098812024,6.66379935010908,6.09410915548194
"K21806",8.74008194282713,8.84574998871653,8.11825244578458,8.27265626229509,7.98435623200123,8.18374613469881,8.38729638891884,8.455928074364,8.35467067011512
"K22379",6.40700442508973,6.11851256346113,6.27089955195708,6.66066849480509,6.72302011997737,6.61603974964288,6.90193553580081,6.97440822753414,6.6272277214496
"K03942",9.56501912383045,9.72660629650031,8.99466707447654,9.41060943263974,9.3430018121978,9.4414516981342,8.84690241635805,9.17316449519604,9.13603734472542
"K11090",9.25396138210718,9.32033392169665,9.49708256281568,9.35611333377251,9.08926867995393,9.49171547022585,8.83225871606042,8.8771708404325,8.78941317059154
"K00140",5.62646840561735,6.27513692278353,5.35481071809175,6.02567857744066,5.67882423908948,5.90139829627412,6.02688048257726,5.94981919153626,5.6278472254877
"K20095",5.62646840561735,6.27513692278353,5.35481071809175,6.02567857744066,5.67882423908948,5.90139829627412,6.02688048257726,5.94981919153626,5.6278472254877
"K15305",6.47800825200714,6.63828536760909,6.40699117073532,6.60189699025528,6.77840835612353,6.52433875139946,6.85831758952447,6.92726327308601,7.30668276853142
"K00264",11.4484357006309,11.4075727170988,11.6593091754904,11.3411493148308,11.3391426273787,11.5014366095354,10.7803132934216,10.9169908827865,11.3413848015352
"K03015",8.5313227604486,8.41858192936191,8.47476365216057,8.56600271700264,8.19797567304277,8.41573006420338,7.97793036540862,7.72735996952616,8.25260804291622
"K09537",7.37227529957706,7.49076722398246,6.56911046932471,7.1320843908115,7.11406833025786,6.96986239434714,7.38153722336309,7.21828761324421,7.33796899831541
"K04371",10.1385053021453,10.1693453247396,9.64002599021996,10.2712929966408,10.0971844349056,10.0362442400264,10.4959626361224,10.386082696259,9.73276473890159
"K08860",8.14716743722741,8.05963778689487,7.83212513593958,7.78253652245847,8.04082537176236,8.04129608346944,8.68516009880364,8.4103409015146,8.21133333495291
"K16194",8.14716743722741,8.05963778689487,7.83212513593958,7.78253652245847,8.04082537176236,8.04129608346944,8.68516009880364,8.4103409015146,8.21133333495291
"K17543",5.10216522150089,5.06129174442032,5.45456057440311,5.56313061879294,4.96800864765658,5.49615558450082,5.51689988862175,5.75961327977185,5.6278472254877
"K21915",6.83978961664458,6.60033454153555,7.33815128291463,7.38491472301596,7.26533999526541,7.20719888672966,6.79792526602475,6.91522191385728,7.22528075270007
"K21953",6.83978961664458,6.60033454153555,7.33815128291463,7.38491472301596,7.26533999526541,7.20719888672966,6.79792526602475,6.91522191385728,7.22528075270007
"K07378",6.14550746399886,5.56622977374928,5.78083589196666,6.33711038566406,6.12807248921523,6.44841512276972,6.13302942873499,6.22010055868127,6.30782987201892
"K11380",8.73660797813701,8.72696789907628,8.72324744093698,8.46467525957137,8.62403711390455,8.70567653566359,8.31530494410349,7.88770735374254,8.55915116926104
"K12876",8.14716743722741,8.34807782793037,8.40399686818929,8.24388897145476,8.48478377841988,8.40746808452932,7.73867779170915,7.73413266692797,8.17743542902449
"K08106",7.15783252441152,6.98371364699483,7.03375129658222,7.2370508884855,6.81852804283558,7.02944952219982,7.60640743839281,7.40055537568377,7.60500905861995
"K14306",7.52630501596326,7.49076722398246,7.49347989624869,6.95817619099786,6.83164505300751,6.91553788797345,7.42158635815081,7.40907822435288,7.25840941028525
"K09023",5.43984038971845,5.26059181866354,5.24389642641188,5.43241685882881,5.03285203874208,5.21700634682781,5.81593638097687,5.84485092634836,5.21271847302884
"K03657",8.26781348568317,8.11302030478454,8.04693265453872,8.19533755220047,8.62034578813389,8.44562345811038,8.80251633591042,8.73663751485254,8.57873304501151
"K00971",5.69308894373688,5.65124308232617,4.96997424857993,5.6083404966332,5.29827121932187,5.39363976078252,5.91084528590182,5.72976872100372,5.56908784779687
"K08641",5.69308894373688,5.65124308232617,4.96997424857993,5.6083404966332,5.29827121932187,5.39363976078252,5.91084528590182,5.72976872100372,5.56908784779687
"K11312",5.69308894373688,5.65124308232617,4.96997424857993,5.6083404966332,5.29827121932187,5.39363976078252,5.91084528590182,5.72976872100372,5.56908784779687
