"","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"K12849",6.58381804400558,6.16543006701232,5.95478613079218,5.78615238585175,6.53994284437069
"K18164",5.27469902521208,4.98188693461485,4.83512069440809,5.22920019898273,5.75568145547098
"K03924",4.59429187527291,4.6152407787949,5.18105281432452,5.06915185096681,5.38609728057304
"K20090",6.54235735147839,5.65253124494612,6.21723926055366,5.80960518264826,5.95345373255561
"K11806",4.33138786895726,4.9116754276186,4.50698671372368,4.77154189782209,5.23285992439363
"K17655",8.24078616827273,7.35538104154734,7.85887687658757,7.90631787191961,8.1825949450504
"K00161",6.80963695845629,6.58431590564272,6.70499236795266,6.94993968250985,7.4875357627369
"K00699",7.57090257658949,8.34767519472534,8.32783910821812,8.44664360802528,8.20742025440555
"K04628",7.57090257658949,8.34767519472534,8.32783910821812,8.44664360802528,8.20742025440555
"K05841",7.57090257658949,8.34767519472534,8.32783910821812,8.44664360802528,8.20742025440555
"K19307",5.21748736801146,4.79606199602062,4.96364372347378,5.33596750755048,4.45248931077015
"K07240",4.69830499975328,4.71027026666336,4.26827976268732,5.02518853376076,5.1769014504202
"K00234",7.09218568467691,7.63456780829828,7.14602483397261,7.23287456340331,6.65441609617084
"K03239",5.52531969890261,4.98188693461485,4.60172908585742,5.02518853376076,4.76072937099034
"K15305",5.02588888990416,5.65253124494612,4.90145720338745,5.26589309955018,4.76072937099034
"K07583",4.87578354527503,4.8746426569992,5.02227611752237,4.77154189782209,4.12888631590356
"K03949",7.36336381460271,6.52605966043724,6.77916345802706,6.60859882060801,6.53994284437069
"K02180",6.4099761943009,6.24068201166586,5.8159102807857,6.04320949141377,5.52187500354697
"K08856",6.95796615325168,6.74576674930793,6.43708379256735,6.22506703351044,6.12546776017723
"K03978",6.8939610543728,7.00779786003483,6.52647968990687,6.11891842852987,6.70831372687449
"K12867",7.43221870153996,7.14829382642506,7.65575311214494,7.46170143861653,8.09216469156669
"K01288",7.57090257658949,7.86806150020615,7.32385723262321,7.04752086573251,7.06450204227454
"K06185",8.13502485717389,7.78081318055216,7.64007941295702,7.29757739061378,8.11202752473347
"K06691",7.58103321057026,6.87516003649063,6.87683227301322,6.83418554960236,7.39296739991892
"K03531",8.63903156160237,7.93202266058509,7.70176994853651,7.99154699900664,8.11202752473347
"K00654",7.7065912015801,8.4332490849294,8.45836229247714,8.59479303555403,8.37013931180512
"K03004",5.87856433428235,5.65253124494612,6.15058239142809,6.17303227447475,6.57915541749807
"K15043",6.62407959593435,6.8674124833002,6.08046729835383,6.06254082769985,6.3709551322364
"K17968",5.65425898106029,4.8746426569992,4.76384816909741,5.11138918472879,5.23285992439363
"K14016",7.37507299711932,6.8674124833002,7.70176994853651,7.71897117939889,7.31481819672748
"K22063",7.2147871758656,6.70275690657804,7.34338953078602,7.44040238158393,7.62322396594833
"K11558",5.87856433428235,5.59404529440202,5.07781919944062,5.06915185096681,5.33720855366723
"K06225",7.57090257658949,7.71812618658285,8.16254445580189,8.13061493740783,7.37107285540989
"K11101",7.57090257658949,7.71812618658285,8.16254445580189,8.13061493740783,7.37107285540989
"K16055",9.55007593846253,9.53333546836818,10.1282338999238,10.2264338681534,9.55588747199829
"K01210",7.63063707696516,7.6747566478162,7.95690567512619,7.97686967933096,7.11822020003924
"K15128",5.32921623383898,5.32771432877915,5.13064407973324,5.433857203932,4.56879682671555
"K10739",6.56324219433668,6.49598872905919,5.90098369327637,5.83264228641981,6.41517924932895
"K09596",6.58381804400558,7.28193532874416,7.33365685597902,7.32110224009381,6.81026090307522
"K09597",6.58381804400558,7.28193532874416,7.33365685597902,7.32110224009381,6.81026090307522
"K10610",7.54007266665978,7.95755263261271,7.5920009299743,7.68320849978597,7.00866615217396
"K02183",12.1439806553765,11.4340467057782,11.4684438927402,11.2707900889751,11.7719707790156
"K03032",10.0934324896433,9.99256705170549,9.80850604624872,9.50722214236009,10.4390106960724
"K03061",7.13424058732,7.25855263250731,7.15712472919492,7.35187625591371,6.47896609402011
"K13342",5.56979313229606,5.86289964106987,6.23875044720938,6.11891842852987,5.43306453861736
"K16276",4.14209729734576,4.8746426569992,5.02227611752237,4.88091360239582,4.76072937099034
"K14396",6.80963695845629,6.94303610498384,7.5673416858178,7.12101474098859,7.53748752692515
"K18163",7.04884482603557,7.3275790658348,7.29404717784192,7.4757262825363,6.59835493298172
"K01399",7.38668679120221,7.28772146301213,7.21135895501635,6.54264011591241,6.90531075790247
"K18443",10.4157144401606,9.93329543286816,10.1614219806428,10.3621928940284,9.57743826124765
"K09577",7.99083544369198,7.66592281714205,7.16813851059402,7.28167540112588,7.27996708046264
"K01180",7.2147871758656,7.54099825011171,7.75365135377624,7.94705691934956,7.14433497871092
"K14709",6.0700158754455,6.05810154100878,6.12761352519965,6.77824963024915,5.89078944764357
"K14307",6.0700158754455,5.37637814286577,5.48309292012255,5.33596750755048,5.1769014504202
"K11129",5.21748736801146,5.07904409713312,4.39839081080696,4.64737739426387,5.05575971112334
"K11885",7.40963441291074,7.73511277200269,8.22677760328441,8.20802054509839,7.8612018147356
"K08493",7.52964645301877,7.27612557603244,8.03676318366733,7.99154699900664,7.9885080259806
"K00428",10.2659025358847,9.80188987788517,9.6788814256358,9.31295830683228,9.68282115940596
"K03064",7.30332964604044,6.85962207565407,7.11219450230192,7.18233915615429,7.7889319478971
"K00942",7.32764774043084,7.04938121684548,6.73513333284789,6.43011888272466,6.74312594879508
"K00860",5.52531969890261,5.98638130147524,5.07781919944062,5.26589309955018,5.52187500354697
"K06038",5.97773750808579,6.90573117770761,6.61046439328825,6.35483509406206,6.51991363290662
"K17778",6.33869895968721,6.46525075798001,5.98088867393638,5.63568057562324,6.34829835273524
"K04725",6.15635204793311,5.46814362766301,6.38053183675277,6.1003872786681,6.12546776017723
"K16061",6.15635204793311,5.46814362766301,6.38053183675277,6.1003872786681,6.12546776017723
"K05850",8.84153365905071,8.85934554161464,9.24536446124225,9.38128149784694,9.63338031810417
"K12196",7.7065912015801,7.83300836648522,8.25271673043842,8.25740115179915,8.54091444684114
"K12132",7.32764774043084,7.16097597858469,7.01782220266305,7.12993927755459,6.43677041220446
"K14400",6.03995914149354,5.63333573272067,5.18105281432452,5.26589309955018,5.47827597911027
"K10667",5.94549975039002,5.97156208320517,6.65852773443368,6.55608441272199,6.49959107022642
"K20290",5.94549975039002,6.40164525029659,6.61046439328825,6.55608441272199,5.89078944764357
"K20307",7.83052686361152,8.00728921949657,7.32385723262321,7.72484574349207,7.2075945091823
"K03248",5.3813189996722,5.84661649504341,5.95478613079218,5.98347825262344,6.32526145791798
"K02210",6.0700158754455,6.85962207565407,6.03160543611473,6.20794270081647,6.15210985238812
"K12870",6.38662498717957,6.04406221515594,5.66039966061274,5.83264228641981,5.52187500354697
"K01186",7.68797715911901,7.97551419532881,8.46281173724289,8.4885838092456,8.0720233265337
"K08337",6.23750564229648,6.11283443375654,6.47353771924188,6.63413194516324,5.75568145547098
"K08202",8.28471723392819,7.82510101229113,7.36265769421271,7.6088854416107,7.74714930964356
"K05208",6.38662498717957,6.811951740257,6.21723926055366,5.92093560250574,6.09828879315049
