"","ko_id","add_backA","add_backB","pFe21_9A","pFe21_9B","pFe21_9C"
"55","K14565",7.3873792061763,6.89924966507631,7.0333301182903,6.3076805336598,9.8487865426209
"56","K02943",6.87073932073569,6.1694455975482,8.38132842488384,7.83133760457876,9.6933980849591
"57","K03088",4.8923121109086,5.41544911660977,4.95476509530233,4.63325078458395,7.95223898463757
"58","K14843",7.07432935578884,6.10387888612013,7.64962717973307,6.3547506283435,9.51675100302924
"59","K00927",8.04302272192376,7.58435533900447,10.3828930579079,10.4995903329142,8.54930943442354
"60","K02953",5.65985784708021,5.77022052848488,8.02589801942652,7.71812599383688,8.51998174758208
"61","K02865",8.79387153567318,8.51945511824017,10.8673022462747,10.7505796232811,11.4550627527738
"62","K14775",6.01525531204274,5.43798870556159,6.30934586964823,5.50276370479315,8.6429665784189
"63","K18622",3.55742645821109,6.24418966458024,6.56652874065298,6.70721257153341,5.22551092492833
"64","K02981",5.81363975183613,6.18218948662737,8.15255072813898,7.86362948785296,8.83377390336884
"65","K00284",5.84943080793358,5.64363569721486,8.14702952918682,8.12559738636963,8.01672386193985
"66","K02898",7.11743580581879,5.86978179385767,8.48993375611234,7.94131729842644,9.21228757691672
"67","K02987",6.27051986808997,6.02078331235302,8.22246129595716,8.19062525136439,8.89595434585637
"68","K00128",4.62618933199912,4.76251873374632,4.76100181182174,4.32675018106028,7.46883530515625
"69","K02985",5.70003353408294,5.41544911660977,7.43026338307723,7.15532908315569,8.52491136907332
"70","K00390",6.39418901738455,5.82093775772188,8.42302160195843,8.32410949434518,8.47992505822003
"71","K03040",7.10321173391754,6.72160719454715,8.03788435092119,7.50241241222849,9.967504035663
"72","K04763",5.88428192821371,4.84077290412007,4.42045262106673,4.49430599338631,7.42716441221317
"73","K02942",7.71092254641916,7.24142696103066,9.13586815766931,8.52564303256237,10.4721461553223
"74","K00228",6.01525531204274,5.88567209561034,8.41386027068353,8.45333405006998,6.69762909714255
"75","K02966",7.02987406872985,6.00642423449687,8.26894404133787,8.2158347290662,9.27503699463092
"76","K02883",5.53121790106434,5.21839966897571,7.46627907731274,7.03701645213179,8.12467088520233
"77","K02870",6.55067423956248,6.38250455617452,8.55387349769411,8.15631005673283,9.21228757691672
"78","K00184",5.33634239027148,5.86978179385767,5.88704664080197,4.80877831604263,8.07171063124997
"79","K02864",6.37032383960565,5.58535441664937,8.15255072813898,7.77017962839776,8.45947084102243
"80","K02894",6.01525531204274,6.09037821534406,7.86022649498428,7.74149451708025,8.86907996861664
"81","K16911",6.4176505667967,6.30351370824735,8.23292138988113,7.76448832076389,9.19693585476231
"82","K00761",5.70003353408294,6.32654668417075,7.91326754640914,8.15631005673283,5.55314573012023
"83","K02940",7.67305915515158,7.20519028259506,9.46540687756537,9.271609828915,10.0501124269247
"84","K00218",7.14546415893096,7.30555916721568,9.37632728760789,9.50397504864206,7.19834958503348
"85","K01939",4.96753229051424,5.01398648652132,6.30934586964823,6.22547469246099,7.95223898463757
"86","K02551",5.70003353408294,6.2682267848503,8.29413316912072,8.43198919065794,7.52914982255495
"87","K02937",4.8923121109086,4.42156964009715,6.85375656072866,6.63340067424326,7.04105026723518
"88","K14753",6.01525531204274,5.99191067543796,7.71087942134238,7.61432644336478,8.81780025935612
"89","K02915",5.88428192821371,5.60507679206164,7.76962147259973,7.00825517630035,8.43348744657326
