"","ko_id","add_backB","add_backC","pFe21_9A","pFe19A","pFe19B","pFe19C","pFe21_9B","pFe21_9C"
"675","K08066",4.76471057777504,5.07494619070844,3.72101777063876,3.38215086031603,3.44203611551416,3.43001872679015,5.09497957081484,4.96322618755813
"676","K11275",3.98060147914019,4.9876833903964,5.99492775952128,5.43844528215566,4.74227473687128,5.08538307223217,4.48330038449561,3.45743269575774
"677","K06147",5.85289613980233,6.32205232703914,6.55113899334137,6.56931304901298,6.95926831658874,7.18242263501718,7.74814523893517,8.33355681051232
"678","K04565",3.98060147914019,3.48408359358466,5.55418092105477,4.76386082981924,5.00486158705182,5.22247716438743,5.55928807946715,5.71022749920649
"679","K19231",3.98060147914019,5.44248933054265,6.67364268734626,5.38928149449575,5.62919348577916,4.66367253677779,4.76371076313647,4.90498514764189
"680","K02866",6.06979739846689,5.40988093902417,7.75807605856825,7.45955133526392,7.17772550056898,7.19053324744942,6.79202456856828,7.50644016566376
"681","K12567",6.75381083367832,8.01576392459458,8.52663250119038,8.98478226770152,8.60180583491463,8.49329132451978,7.78265122631604,6.9818955716692
"682","K09628",4.791930568635,5.15685868890756,6.0686367059627,6.7519828798382,5.98218071962694,5.9422916438115,4.67702155983799,4.56637688727451
"683","K22403",4.52292420744762,4.68448833239034,4.11043691322429,2.71827869300912,4.12466798416602,4.7125928257059,5.36019919962245,5.01900499859575
"684","K03885",6.23916429549551,6.21471643788314,4.81610947763809,4.39438951853489,5.35237122914404,5.15567297370466,6.2426981724391,6.58030651789512
"685","K03320",9.44557016468681,9.053359827274,10.7235791128042,9.576219764943,10.3668368997914,10.2615212817145,8.49150665884268,8.79969541460468
"686","K18732",5.48840887726077,7.15872096216027,7.1822138258702,7.68533419685359,6.62904075347903,6.72677217300575,6.16955311999507,5.4969721109162
"687","K15102",4.92005819174866,4.56501783167434,6.96957910557468,6.22857375508504,5.98218071962694,6.49694028022829,6.18448671810312,6.1092026458617
"688","K03283",8.90567121093456,8.67871246826473,9.9503139028431,10.3005683430753,10.1195120585448,10.2067046735413,8.33099882247152,8.86671940581664
"689","K14548",3.2704927687288,2.71827869300912,4.11043691322429,4.28124800268776,4.5315696938922,4.3851404501789,4.80494789088028,5.14901714786614
"690","K04799",4.22088477311359,5.15685868890756,5.9565791457952,6.11408720040514,6.1649507672536,5.66439925619442,5.30557215168089,4.15295760113126
"691","K14441",6.41558369673939,5.8572775535693,4.98406919284981,5.43844528215566,7.19451477470442,6.33006543024776,5.02821814841379,5.12400444432601
"692","K02725",8.06728139536439,8.01576392459458,7.29311398990852,6.84422144490946,6.32683451963862,6.57358707215589,6.2426981724391,5.99283759131077
"693","K01074",6.44025847677954,6.33917983764814,4.26125715635484,5.23022281180215,5.41235686582768,4.75970050503897,4.72110367941208,4.67774260011138
"694","K00999",6.00483325620204,5.3764804964977,4.81610947763809,6.3345175913564,5.90189631058289,5.71090515702192,3.96178137522907,4.71277588382683
"695","K03030",6.89107569935246,6.75047258748626,6.30005534707862,5.38928149449575,5.35237122914404,5.15567297370466,4.957926792256,4.99140925824675
"696","K02994",3.2704927687288,3.65091956100718,5.20179388778037,4.76386082981924,3.73163289373749,2.71827869300912,3.54636247417706,3.97268963058921
"697","K14815",3.2704927687288,2.71827869300912,3.93487807779479,4.01379929287045,3.9475271791568,4.32077430308287,4.84490855553366,5.19769157094031
"698","K01341",7.363391178051,7.19662966775521,6.74240591735117,6.82624267311142,7.41103831605377,7.06378599535706,6.10819479337923,5.04603916421167
"699","K09908",3.58371119483364,5.65146324786038,5.1330731949057,3.84913674762801,5.35237122914404,3.71512116794061,4.25247561619039,4.67774260011138
